2024-06-06 14:58:21.711526: start
2024-06-06 14:58:52.239862: parameter 0, 0 < 1
2024-06-06 14:58:53.325376: parameter 1, 1 < 0
2024-06-06 14:58:54.105963: parameter 0, 1 < 2
2024-06-06 14:58:54.673400: parameter 1, 2 < 0
2024-06-06 14:58:55.324248: parameter 1, 1 < 2
2024-06-06 14:58:56.006424: param 0, 3<1
2024-06-06 14:58:56.643991: parameter 0, 0 < 3
2024-06-06 14:58:57.182277: param 1, 3<2
2024-06-06 14:58:57.666430: parameter 1, 1 < 3
2024-06-06 14:58:58.196056: param 0, 4<1
2024-06-06 14:58:58.773056: parameter 0, 3 < 4
2024-06-06 14:58:59.325204: param 1, 4<2
2024-06-06 14:58:59.900222: parameter 1, 3 < 4
2024-06-06 14:59:00.456315: param 0, 5<4
2024-06-06 14:59:01.023084: parameter 0, 3 < 5
2024-06-06 14:59:01.532532: param 1, 5<4
2024-06-06 14:59:02.039372: parameter 1, 3 < 5
2024-06-06 14:59:02.539711: param 0, 6<4
2024-06-06 14:59:03.042032: param 0, 3<6
2024-06-06 14:59:03.570317: parameter 0, 6 < 5
2024-06-06 14:59:04.019006: param 1, 4<6
2024-06-06 14:59:04.500518: parameter 1, 6 < 0
2024-06-06 14:59:05.024383: parameter 1, 2 < 6
2024-06-06 14:59:05.534323: param 0, 7<5
2024-06-06 14:59:06.029353: param 0, 3<7
2024-06-06 14:59:06.562574: parameter 0, 7 < 6
2024-06-06 14:59:07.079528: param 1, 4<7
2024-06-06 14:59:07.621810: param 1, 7<6
2024-06-06 14:59:08.179663: parameter 1, 2 < 7
2024-06-06 14:59:08.686573: param 0, 8<5
2024-06-06 14:59:09.209264: param 0, 7<8
2024-06-06 14:59:09.742184: parameter 0, 8 < 6
2024-06-06 14:59:10.380483: param 1, 2<8
2024-06-06 14:59:10.941729: param 1, 8<6
2024-06-06 14:59:11.576424: parameter 1, 7 < 8
2024-06-06 14:59:12.186431: param 0, 9<6
2024-06-06 14:59:12.694389: param 0, 7<9
2024-06-06 14:59:13.243743: parameter 0, 9 < 8
2024-06-06 14:59:13.866844: param 1, 2<9
2024-06-06 14:59:14.383645: param 1, 9<6
2024-06-06 14:59:14.905991: parameter 1, 8 < 9
2024-06-06 14:59:15.450702: param 0, 10<6
2024-06-06 14:59:16.094732: param 0, 7<10
2024-06-06 14:59:16.689621: parameter 0, 10 < 8
2024-06-06 14:59:17.302334: parameter 0, 9 < 10
2024-06-06 14:59:17.982723: param 1, 10<7
2024-06-06 14:59:18.573935: param 1, 5<10
2024-06-06 14:59:19.108337: parameter 1, 10 < 2
2024-06-06 14:59:19.701675: parameter 1, 4 < 10
2024-06-06 14:59:20.307868: param 0, 11<8
2024-06-06 14:59:20.829615: param 0, 7<11
2024-06-06 14:59:21.341282: parameter 0, 11 < 10
2024-06-06 14:59:21.889873: parameter 0, 9 < 11
2024-06-06 14:59:22.445909: param 1, 11<2
2024-06-06 14:59:22.989795: param 1, 5<11
2024-06-06 14:59:23.684089: parameter 1, 11 < 10
2024-06-06 14:59:26.172686: parameter 1, 4 < 11
2024-06-06 14:59:26.728599: param 0, 12<8
2024-06-06 14:59:27.556278: param 0, 9<12
2024-06-06 14:59:28.290125: parameter 0, 12 < 10
2024-06-06 14:59:28.939904: parameter 0, 11 < 12
2024-06-06 14:59:29.580202: param 1, 12<2
2024-06-06 14:59:30.118959: param 1, 4<12
2024-06-06 14:59:30.802436: parameter 1, 12 < 10
2024-06-06 14:59:31.475656: parameter 1, 11 < 12
2024-06-06 14:59:31.975853: param 0, 13<10
2024-06-06 14:59:32.564243: param 0, 9<13
2024-06-06 14:59:33.044662: parameter 0, 13 < 12
2024-06-06 14:59:33.582906: parameter 0, 11 < 13
2024-06-06 14:59:34.107615: param 1, 13<10
2024-06-06 14:59:34.650371: param 1, 4<13
2024-06-06 14:59:35.157003: parameter 1, 13 < 12
2024-06-06 14:59:35.705735: parameter 1, 11 < 13
2024-06-06 14:59:36.282390: param 0, 14<10
2024-06-06 14:59:36.798572: param 0, 9<14
2024-06-06 14:59:37.503729: param 0, 14<13
2024-06-06 14:59:38.153099: parameter 0, 11 < 14
